match_id,team1,team2,elo_team1_pre,elo_team2_pre,elo_diff_pre,season
1114876,Hobart Hurricanes,Sydney Sixers,1457.0992569414198,1481.1789968363603,-24.07973989494053,2018
1114877,Perth Scorchers,Melbourne Renegades,1617.4784887697638,1510.7835003266866,106.69498844307714,2018
1114878,Adelaide Strikers,Melbourne Stars,1527.0464848859003,1493.6582475535902,33.388237332310155,2018
1114879,Brisbane Heat,Hobart Hurricanes,1502.5424562815688,1467.7912199816317,34.75123629993709,2018
1114880,Sydney Thunder,Perth Scorchers,1410.21256840471,1624.5005881660338,-214.28801976132377,2018
1114881,Melbourne Renegades,Melbourne Stars,1503.7614009304166,1484.6162909003808,19.145110030035767,2018
1114883,Sydney Sixers,Sydney Thunder,1470.4870337961484,1425.7013230261512,44.785710769997195,2018
1114882,Adelaide Strikers,Perth Scorchers,1536.0884415391097,1609.0118335445927,-72.92339200548304,2018
1114884,Hobart Hurricanes,Brisbane Heat,1478.788118715557,1491.5455575476435,-12.757438832086564,2018
1114885,Melbourne Stars,Sydney Sixers,1495.1667744019608,1479.2050898913772,15.96168451058361,2018
1114886,Adelaide Strikers,Hobart Hurricanes,1528.1570574044267,1489.1551423867961,39.00191501763061,2018
1114887,Sydney Sixers,Brisbane Heat,1489.664181158802,1481.1785338764043,8.485647282397622,2018
1114889,Perth Scorchers,Hobart Hurricanes,1616.9432176792757,1480.2730160390195,136.6702016402562,2018
1114888,Melbourne Stars,Sydney Thunder,1484.707683134536,1416.9832669309224,67.7244162036136,2018
1114890,Melbourne Renegades,Adelaide Strikers,1493.2109174288366,1537.0391837522034,-43.828266323366734,2018
1114891,Sydney Sixers,Melbourne Stars,1499.4199931490957,1472.7827365284288,26.637256620666903,2018
1114892,Sydney Thunder,Melbourne Renegades,1428.9082135370295,1484.4657472311726,-55.5575336941431,2018
1114893,Perth Scorchers,Adelaide Strikers,1623.2006125698604,1545.7843539498674,77.41625861999296,2018
1114895,Brisbane Heat,Melbourne Renegades,1471.4227218861106,1492.8801645426229,-21.457442656512285,2018
1114894,Melbourne Stars,Hobart Hurricanes,1463.5479197390002,1474.0156211484348,-10.46770140943454,2018
1114896,Perth Scorchers,Hobart Hurricanes,1631.00855232189,1463.7144276112133,167.29412471067667,2018
1114897,Adelaide Strikers,Melbourne Renegades,1537.9764141978378,1502.2633537186055,35.713060479232354,2018
1114898,Adelaide Strikers,Hobart Hurricanes,1546.952114691504,1478.188958222103,68.76315646940088,2018
1152511,Brisbane Heat,Adelaide Strikers,1462.039532710128,1554.9983952041543,-92.95886249402633,2018
1152512,Melbourne Renegades,Perth Scorchers,1493.2876532249393,1616.5340217110002,-123.24636848606087,2018
1152513,Sydney Thunder,Melbourne Stars,1420.4937962255792,1473.8491132762217,-53.3553170506425,2018
1152514,Sydney Sixers,Perth Scorchers,1508.6548099385243,1603.1283713175278,-94.47356137900351,2018
1152515,Brisbane Heat,Hobart Hurricanes,1454.6530353581093,1470.1426777094528,-15.489642351343491,2018
1152516,Adelaide Strikers,Melbourne Renegades,1562.384892556173,1506.6933036184116,55.69158893776148,2018
1152517,Hobart Hurricanes,Melbourne Stars,1479.6971451094007,1462.3253832706243,17.371761838776365,2018
1152518,Sydney Thunder,Sydney Sixers,1432.0175262311766,1521.3088848237428,-89.29135859256621,2018
1152519,Perth Scorchers,Adelaide Strikers,1590.4742964323093,1550.7955486813203,39.67874775098903,2018
1152520,Sydney Sixers,Melbourne Stars,1508.793999711249,1452.8249665195683,55.96903319168064,2018
1152521,Hobart Hurricanes,Sydney Thunder,1489.1975618604567,1444.5324113436704,44.6651505167863,2018
1152522,Melbourne Renegades,Sydney Sixers,1518.2826474932644,1497.196873052806,21.085774440458408,2018
1152523,Hobart Hurricanes,Perth Scorchers,1497.919031085058,1599.3371896211213,-101.4181585360634,2018
1152524,Adelaide Strikers,Sydney Thunder,1541.9326554925083,1435.8109421190693,106.12171337343898,2018
1152526,Melbourne Stars,Melbourne Renegades,1464.4220931780112,1507.6764941404408,-43.2544009624296,2019
1152525,Brisbane Heat,Sydney Sixers,1445.0985679581613,1507.8030264056297,-62.70445844746837,2019
1152527,Sydney Thunder,Perth Scorchers,1428.7737983798067,1586.4983180047984,-157.72451962499167,2019
1152528,Melbourne Renegades,Adelaide Strikers,1496.437924787271,1548.9697992317708,-52.53187444449986,2019
1152529,Hobart Hurricanes,Sydney Sixers,1510.7579027013808,1516.017590295442,-5.2596875940612335,2019
1152531,Perth Scorchers,Brisbane Heat,1572.2467684154697,1436.884004068349,135.36276434712067,2019
1152530,Melbourne Stars,Sydney Thunder,1475.660662531181,1443.0253479691355,32.63531456204555,2019
1152532,Adelaide Strikers,Sydney Sixers,1557.469227860493,1505.8662158810187,51.60301197947433,2019
1152533,Melbourne Renegades,Hobart Hurricanes,1487.9384961585488,1520.9092771158041,-32.97078095725533,2019
1152534,Sydney Thunder,Brisbane Heat,1433.9619149367074,1450.594203640087,-16.632288703379572,2019
1152535,Melbourne Stars,Perth Scorchers,1484.7240955636091,1558.5365688437316,-73.8124732801225,2019
1152536,Brisbane Heat,Melbourne Renegades,1460.1158532437935,1498.884633062794,-38.76877981900043,2019
1152537,Adelaide Strikers,Melbourne Stars,1545.9947997341649,1476.8171931999145,69.17760653425034,2019
1152540,Perth Scorchers,Sydney Sixers,1566.4434712074262,1517.3406440073468,49.102827200079446,2019
1152538,Sydney Thunder,Adelaide Strikers,1424.440265333001,1554.0296094197106,-129.58934408670962,2019
1152539,Melbourne Renegades,Brisbane Heat,1507.7733862239998,1451.2271000825876,56.54628614141211,2019
1152541,Melbourne Stars,Hobart Hurricanes,1468.7823835143688,1509.963140211559,-41.18075669719019,2019
1152542,Sydney Sixers,Melbourne Renegades,1508.744601867525,1496.160073009607,12.58452885791803,2019
1152544,Perth Scorchers,Hobart Hurricanes,1575.039513347248,1518.7833823258936,56.25613102135435,2019
1152545,Melbourne Renegades,Melbourne Stars,1506.5221265453592,1459.9621414000342,46.55998514532507,2019
1152546,Sydney Sixers,Brisbane Heat,1498.3825483317728,1462.8404132969804,35.54213503479241,2019
1152547,Adelaide Strikers,Hobart Hurricanes,1540.4635832518609,1530.3885604772936,10.075022774567287,2019
1152548,Sydney Thunder,Melbourne Renegades,1438.0062915008507,1495.1899874529133,-57.183695952062635,2019
1152549,Melbourne Stars,Adelaide Strikers,1471.29428049248,1530.1736820407978,-58.879401548317674,2019
1152550,Sydney Sixers,Hobart Hurricanes,1507.3631170838833,1540.6784616883567,-33.31534460447347,2019
1152551,Perth Scorchers,Sydney Thunder,1563.434335195848,1429.6374680278186,133.7968671680294,2019
1152552,Melbourne Stars,Brisbane Heat,1482.9729265735207,1453.85984454487,29.11308202865075,2019
1152553,Perth Scorchers,Melbourne Renegades,1549.7630664369983,1503.5588109259454,46.20425551105291,2019
1152555,Sydney Sixers,Adelaide Strikers,1518.3190816241913,1518.4950359597572,-0.17595433556584794,2019
1152554,Hobart Hurricanes,Brisbane Heat,1529.7224971480487,1444.6958307027617,85.02666644528699,2019
1152556,Melbourne Renegades,Sydney Thunder,1514.8808916238909,1443.3087367866683,71.57215483722257,2019
1152557,Hobart Hurricanes,Adelaide Strikers,1537.3229466245543,1508.4899715873137,28.832975037240658,2019
1152558,Brisbane Heat,Perth Scorchers,1437.095381226256,1538.4409857390528,-101.34560451279685,2019
1152559,Sydney Sixers,Sydney Thunder,1528.3241459966348,1435.3400953775308,92.98405061910398,2019
1152561,Perth Scorchers,Melbourne Stars,1525.6040342112826,1492.136940415629,33.46709379565368,2019
1152560,Adelaide Strikers,Brisbane Heat,1519.3179514240612,1449.9323327540262,69.385618670035,2019
1152562,Hobart Hurricanes,Melbourne Renegades,1526.4949667878068,1522.8495330330284,3.6454337547784235,2019
1152563,Brisbane Heat,Melbourne Stars,1461.9032782421461,1483.0972325528319,-21.19395431068574,2019
1152565,Sydney Thunder,Hobart Hurricanes,1427.9542734667352,1536.3900466202506,-108.43577315351536,2019
1152564,Adelaide Strikers,Perth Scorchers,1507.3470059359413,1534.6437420740797,-27.296736138138385,2019
1152566,Melbourne Stars,Sydney Sixers,1472.4879770319947,1535.7099679074304,-63.22199087543572,2019
1152567,Hobart Hurricanes,Melbourne Stars,1523.366553763922,1484.2878302328688,39.07872353105313,2019
1152568,Melbourne Renegades,Sydney Sixers,1512.9544532005846,1523.9101147065562,-10.955661505971648,2019
1152569,Melbourne Stars,Melbourne Renegades,1495.4078869316734,1523.2696780146546,-27.8617910829812,2019
1195573,Brisbane Heat,Sydney Thunder,1472.5125337629834,1440.9777663230639,31.534767439919506,2019
1195574,Sydney Sixers,Perth Scorchers,1513.5948898924862,1523.8596914169864,-10.264801524500172,2019
1195575,Melbourne Renegades,Sydney Thunder,1532.4694658220283,1451.882925636548,80.58654018548032,2019
1195577,Brisbane Heat,Melbourne Stars,1461.6073744494993,1486.2080991242997,-24.600724674800404,2019
1195576,Hobart Hurricanes,Sydney Sixers,1512.2464970651174,1523.8902486974505,-11.643751632333078,2019
1195579,Perth Scorchers,Melbourne Renegades,1513.564332612022,1520.1907179204047,-6.626385308382623,2019
1195581,Sydney Sixers,Brisbane Heat,1513.5552399979028,1452.314259278884,61.24098071901881,2019
1195580,Melbourne Stars,Hobart Hurricanes,1495.501214294915,1522.581505764665,-27.080291469750136,2019
1195582,Adelaide Strikers,Perth Scorchers,1518.1310565930346,1523.7550321905585,-5.623975597523895,2019
1195583,Hobart Hurricanes,Melbourne Renegades,1511.8036468908872,1510.0000183418683,1.8036285490188675,2019
1195584,Perth Scorchers,Sydney Sixers,1513.593175297339,1501.8106138468224,11.782561450516596,2019
1195585,Melbourne Stars,Adelaide Strikers,1506.2790731686928,1528.292913486254,-22.01384031756129,2019
1195587,Melbourne Renegades,Adelaide Strikers,1500.0519304781676,1537.6601507673045,-37.60822028913685,2019
1195588,Hobart Hurricanes,Melbourne Stars,1521.751734754588,1496.9118358876424,24.839898866945532,2019
1195589,Adelaide Strikers,Sydney Thunder,1546.5819071541114,1464.1616735381715,82.42023361593988,2019
1195590,Brisbane Heat,Perth Scorchers,1464.0588854299644,1503.2541758676132,-39.19529043764874,2020
1195591,Sydney Thunder,Melbourne Stars,1476.4903982135197,1507.6255699709377,-31.135171757417993,2020
1195592,Melbourne Renegades,Sydney Sixers,1491.1301740913607,1512.1496132765483,-21.019439185187593,2020
1195593,Hobart Hurricanes,Brisbane Heat,1511.0380006712926,1455.1822549792205,55.855745692072105,2020
1195594,Melbourne Stars,Melbourne Renegades,1516.7318188967558,1481.7344251551883,34.99739374156752,2020
1195595,Sydney Sixers,Adelaide Strikers,1521.5453622127206,1534.2531824787632,-12.707820266042518,2020
1195596,Perth Scorchers,Hobart Hurricanes,1512.1308063183571,1499.4440516807942,12.686754637562899,2020
1195597,Sydney Thunder,Brisbane Heat,1467.3841492877016,1466.7762039697188,0.6079453179827397,2020
1195598,Melbourne Renegades,Perth Scorchers,1472.7383379621906,1501.7658143763783,-29.02747641418773,2020
1195600,Melbourne Stars,Sydney Thunder,1525.7279060897536,1457.3666512327284,68.36125485702519,2020
1195599,Adelaide Strikers,Sydney Sixers,1523.8875850283296,1531.9109596631542,-8.023374634824677,2020
1195601,Brisbane Heat,Hobart Hurricanes,1476.793702024692,1509.809043622773,-33.01534159808102,2020
1195602,Melbourne Renegades,Melbourne Stars,1463.571877361808,1533.7853152309638,-70.21343786915577,2020
1195603,Sydney Thunder,Hobart Hurricanes,1449.3092420915182,1498.8616356567597,-49.55239356524157,2020
1195604,Perth Scorchers,Brisbane Heat,1510.932274976761,1487.7411099907054,23.191164986055583,2020
1195606,Melbourne Stars,Sydney Sixers,1541.7914795561937,1541.6800694203425,0.11141013585120163,2020
1195605,Adelaide Strikers,Melbourne Renegades,1514.1184752711413,1455.565713036578,58.55276223456326,2020
1195607,Hobart Hurricanes,Perth Scorchers,1487.444995598818,1520.2657691704387,-32.82077357162075,2020
1195608,Brisbane Heat,Adelaide Strikers,1478.4076157970276,1522.4489671461226,-44.041351349095066,2020
1195609,Sydney Thunder,Melbourne Renegades,1460.72588214946,1447.2352211615967,13.490660987863293,2020
1195610,Perth Scorchers,Melbourne Stars,1529.3239113506372,1551.7882729148284,-22.464361564191222,2020
1195612,Adelaide Strikers,Brisbane Heat,1511.188101300374,1489.6684816427762,21.519619657597786,2020
1195614,Sydney Thunder,Sydney Sixers,1450.3377847399274,1531.6832760617078,-81.3454913217804,2020
1195613,Melbourne Stars,Perth Scorchers,1561.1425961374641,1519.9695881280015,41.17300800946259,2020
1195616,Brisbane Heat,Melbourne Renegades,1480.2870752364179,1457.6233185711292,22.6637566652887,2020
1195615,Hobart Hurricanes,Adelaide Strikers,1478.3868534186195,1520.5695077067323,-42.18265428811287,2020
1195617,Sydney Sixers,Melbourne Stars,1519.3838284380538,1569.96305817341,-50.57922973535619,2020
1195618,Perth Scorchers,Sydney Thunder,1511.1491260920557,1462.6372323635815,48.511893728474206,2020
1195619,Melbourne Renegades,Hobart Hurricanes,1468.274710262415,1469.5950371249085,-1.3203268624934026,2020
1195620,Adelaide Strikers,Melbourne Stars,1529.3613240004433,1558.5174687242206,-29.156144723777288,2020
1195621,Brisbane Heat,Sydney Sixers,1469.635683545132,1530.8294178872432,-61.193734342111156,2020
1195623,Perth Scorchers,Adelaide Strikers,1519.7618453778675,1540.1985409274366,-20.436695549569095,2020
1195622,Hobart Hurricanes,Sydney Thunder,1479.5570352459506,1454.0245130777696,25.532522168181004,2020
1195625,Melbourne Stars,Brisbane Heat,1547.6802517972274,1461.3789911952376,86.30126060198972,2020
1195624,Sydney Sixers,Melbourne Renegades,1539.0861102371375,1458.312712141373,80.7733980957646,2020
1195627,Adelaide Strikers,Hobart Hurricanes,1549.6110030114971,1488.8234702631416,60.78753274835549,2020
1195626,Sydney Thunder,Perth Scorchers,1444.7580780605786,1510.349383293807,-65.59130523322847,2020
1195628,Melbourne Renegades,Brisbane Heat,1450.5965583471468,1473.8130846158213,-23.216526268674443,2020
1195629,Hobart Hurricanes,Sydney Thunder,1500.5554395022832,1456.6238345627396,43.931604939543604,2020
1195630,Melbourne Stars,Sydney Sixers,1535.2461583766437,1546.8022640313636,-11.556105654719886,2020
1195631,Adelaide Strikers,Sydney Thunder,1537.8790337723556,1467.8815917465472,69.99744202580837,2020
1195632,Melbourne Stars,Sydney Thunder,1525.578647232126,1479.8694569657687,45.70919026635738,2020
1195633,Sydney Sixers,Melbourne Stars,1556.4697751758813,1534.2705692257066,22.1992059501747,2020
1226852,Hobart Hurricanes,Sydney Sixers,1489.2976823184756,1565.831698746787,-76.53401642831136,2020
1226872,Brisbane Heat,Melbourne Stars,1463.1458520993299,1524.908645654801,-61.762793555471035,2020
1226841,Perth Scorchers,Melbourne Renegades,1498.483626791646,1461.2637908636382,37.2198359280078,2020
1226828,Melbourne Stars,Sydney Thunder,1533.1494614842823,1471.1775349721881,61.971926512094115,2020
1226837,Sydney Sixers,Melbourne Renegades,1553.663824716259,1472.330984512498,81.33284020376095,2020
1226850,Hobart Hurricanes,Adelaide Strikers,1501.4655563490037,1525.891168553134,-24.425612204130402,2020
1226866,Brisbane Heat,Sydney Thunder,1454.9050362698486,1462.9425515727958,-8.037515302947213,2020
1226863,Hobart Hurricanes,Adelaide Strikers,1512.1674260429693,1515.1892988591685,-3.0218728161992203,2020
1226830,Melbourne Renegades,Hobart Hurricanes,1464.6300872579613,1502.2544003410483,-37.62431308308692,2020
1226873,Sydney Sixers,Adelaide Strikers,1561.3647219707955,1525.1023245610895,36.262397409705954,2020
1226831,Perth Scorchers,Sydney Thunder,1487.4164331427862,1472.7112545461948,14.705178596591395,2020
1226881,Adelaide Strikers,Brisbane Heat,1516.142266819503,1445.1363332964495,71.0059335230535,2020
1226846,Melbourne Stars,Sydney Sixers,1541.3844448836746,1570.324779712382,-28.940334828707364,2020
1226874,Sydney Thunder,Melbourne Renegades,1483.1342510541947,1455.708788671646,27.42546238254863,2020
1226868,Hobart Hurricanes,Brisbane Heat,1511.1756989273636,1437.1520620562453,74.02363687111824,2020
1226845,Adelaide Strikers,Perth Scorchers,1524.1265380597072,1476.9934366347863,47.133101424920824,2020
1226854,Sydney Thunder,Melbourne Stars,1492.3465182412795,1532.2154935210547,-39.86897527977521,2020
1226877,Melbourne Renegades,Sydney Sixers,1446.4965214845613,1579.493731075002,-132.99720959044066,2020
1226875,Hobart Hurricanes,Brisbane Heat,1499.0767905251787,1449.2509704584302,49.82582006674852,2020
1226870,Adelaide Strikers,Perth Scorchers,1532.7781996593817,1468.3417750351118,64.43642462426988,2020
1226856,Melbourne Renegades,Sydney Thunder,1440.147859587556,1503.489029109041,-63.34116952148497,2021
1226844,Hobart Hurricanes,Melbourne Stars,1507.6524394187143,1521.0729826532931,-13.420543234578872,2021
1226832,Sydney Sixers,Brisbane Heat,1585.8423929720072,1440.6753215648946,145.16707140711264,2021
1226842,Adelaide Strikers,Sydney Sixers,1520.9445459795807,1571.8914325703056,-50.946886590724944,2021
1226853,Perth Scorchers,Melbourne Renegades,1480.1754287149129,1431.9510316990084,48.224397015904515,2021
1226879,Melbourne Stars,Hobart Hurricanes,1510.6869003709537,1518.0385217010537,-7.351621330099988,2021
1226851,Sydney Thunder,Brisbane Heat,1511.6858569975886,1454.6262819665963,57.05957503099239,2021
1226833,Adelaide Strikers,Melbourne Renegades,1512.4004947197286,1423.330195915633,89.0702988040955,2021
1226829,Perth Scorchers,Sydney Sixers,1488.796264498288,1580.4354838301576,-91.63921933186953,2021
1226871,Sydney Thunder,Hobart Hurricanes,1500.0581581059234,1507.826956603848,-7.768798497924536,2021
1226835,Brisbane Heat,Melbourne Stars,1466.2539808582615,1520.8984654681594,-54.64448460989797,2021
1226826,Adelaide Strikers,Melbourne Renegades,1519.8915707596905,1415.8391198756713,104.05245088401921,2021
1226878,Perth Scorchers,Sydney Thunder,1501.374344117031,1510.281724842124,-8.907380725093162,2021
1226855,Brisbane Heat,Sydney Sixers,1477.8139339510153,1567.8574042114149,-90.04347026039954,2021
1226876,Melbourne Stars,Adelaide Strikers,1509.3385123754056,1506.9831397339526,2.355372641452959,2021
1226857,Hobart Hurricanes,Perth Scorchers,1497.6033898676474,1511.6306629875446,-14.027273119897245,2021
1226861,Sydney Thunder,Sydney Sixers,1500.0254059716103,1575.322251779249,-75.29684580763865,2021
1226843,Melbourne Renegades,Brisbane Heat,1428.747550901409,1470.3490863831812,-41.60153548177209,2021
1226839,Melbourne Stars,Adelaide Strikers,1499.2707203397958,1517.0509317695623,-17.780211429766496,2021
1226865,Perth Scorchers,Sydney Sixers,1521.2271448390202,1583.1883389633915,-61.96119412437133,2021
1226864,Melbourne Renegades,Melbourne Stars,1419.9392494979156,1509.7820296775515,-89.84278017963584,2021
1226840,Sydney Thunder,Hobart Hurricanes,1492.1593187874678,1488.0069080161718,4.15241077129599,2021
1226838,Perth Scorchers,Brisbane Heat,1512.9918621582492,1479.1573877866747,33.834474371574515,2021
1226869,Melbourne Stars,Melbourne Renegades,1517.2522831169917,1412.4689960584753,104.78328705851641,2021
1226859,Adelaide Strikers,Brisbane Heat,1506.5396224318067,1470.1281554093587,36.41146702244805,2021
1226834,Perth Scorchers,Hobart Hurricanes,1522.0210945355652,1498.1264183151884,23.894676220376823,2021
1226880,Sydney Thunder,Sydney Sixers,1482.0398084884512,1591.4236216441625,-109.38381315571132,2021
1226849,Perth Scorchers,Melbourne Stars,1531.3344327467162,1504.3246080947229,27.009824651993313,2021
1226848,Brisbane Heat,Melbourne Renegades,1461.1723416448651,1425.3966710807442,35.7756705641209,2021
1226827,Hobart Hurricanes,Sydney Sixers,1488.8130801040375,1578.3753569256342,-89.5622768215967,2021
1226847,Adelaide Strikers,Sydney Thunder,1515.4954361963003,1495.0880732069795,20.407362989320745,2021
1226836,Adelaide Strikers,Sydney Thunder,1524.9087396290931,1485.6747697741866,39.23396985490649,2021
1226862,Brisbane Heat,Perth Scorchers,1470.1462590154192,1540.558589830862,-70.41233081544283,2021
1226858,Melbourne Stars,Sydney Sixers,1495.100451010577,1565.8531687673824,-70.7527177568054,2021
1226860,Melbourne Renegades,Hobart Hurricanes,1416.4227537101901,1501.3352682622892,-84.91251455209908,2021
1226883,Adelaide Strikers,Brisbane Heat,1513.784270859647,1482.14559108679,31.638679772856904,2021
1226884,Perth Scorchers,Sydney Sixers,1528.5592577594912,1573.8444330405084,-45.285175281017246,2021
1226885,Sydney Thunder,Brisbane Heat,1496.7992385436328,1493.053716652913,3.7455218907198287,2021
1226886,Perth Scorchers,Brisbane Heat,1519.8553385453413,1503.161517262684,16.69382128265738,2021
1226882,Sydney Sixers,Perth Scorchers,1582.5483522546583,1529.3752211665392,53.173131088119135,2021
